iter	Passed	Remaining
260	1845842	3104693
261	1854589	3100420
262	1860157	3090831
263	1868768	3086298
264	1879241	3084793
265	1886146	3077397
266	1892761	3069534
267	1897438	3058557
268	1903042	3049112
269	1910054	3041938
270	1918961	3037765
271	1922968	3025847
272	1930280	3019157
273	1936971	3011496
274	1944556	3005224
275	1951778	2998383
276	1956801	2988183
277	1965441	2983511
278	1973637	2978140
279	1984853	2977280
280	1997587	2978608
281	2005252	2972324
282	2012505	2965423
283	2019593	2958277
284	2026650	2951087
285	2031832	2941183
286	2037809	2932457
287	2045547	2926268
288	2050627	2916289
289	2055935	2906668
290	2061384	2897272
291	2068798	2890649
292	2075856	2883527
293	2084674	2878835
294	2092561	2872838
295	2100757	2867250
296	2110146	2863262
297	2118115	2857323
298	2123127	2847405
299	2128879	2838506
300	2134937	2830032
301	2141853	2822707
302	2150485	2817632
303	2154739	2806831
304	2160221	2797663
305	2167349	2790639
306	2172422	2780983
307	2178531	2772676
308	2186627	2766898
309	2192841	2758735
310	2199629	2751304
311	2207265	2744933
312	2215026	2738706
313	2220591	2729771
314	2232812	2728993
315	2238498	2720201
316	2248349	2716460
317	2259437	2714167
318	2268289	2709147
319	2275413	2702053
320	2287440	2700747
321	2296726	2696157
322	2302136	2687014
323	2311339	2682295
324	2321337	2678465
325	2327058	2669692
326	2334205	2662564
327	2343223	2657558
328	2348820	2648669
329	2355402	2640905
330	2362534	2633761
331	2369373	2626293
332	2375358	2617887
333	2383248	2611584
334	2391278	2605422
335	2401004	2601088
336	2407942	2593718
337	2417387	2589036
338	2425102	2582483
339	2434987	2578221
340	2444349	2573376
341	2451135	2565808
342	2461059	2561511
343	2473380	2559661
344	2484125	2556129
345	2490985	2548580
346	2498486	2541688
347	2509497	2538342
348	2520224	2534666
349	2529282	2529282
350	2538136	2523674
351	2547166	2518221
352	2552080	2508701
353	2558006	2500198
354	2566329	2494038
355	2575890	2489063
356	2581713	2480469
357	2590843	2475051
358	2599359	2469029
359	2606561	2461752
360	2616111	2456681
361	2626298	2452179
362	2634969	2446239
363	2641682	2438475
364	2647216	2429637
365	2656157	2423925
366	2667195	2420098
367	2673656	2412103
368	2681652	2405493
369	2690161	2399332
370	2697378	2392014
371	2703679	2383889
372	2712556	2378032
373	2721301	2372043
374	2728541	2364736
375	2735361	2357066
376	2740514	2347973
377	2749558	2342216
378	2755145	2333513
379	2762509	2326323
380	2766557	2316356
381	2775337	2310359
382	2784076	2304313
383	2790666	2296485
384	2797171	2288595
385	2808468	2284609
386	2815292	2276967
387	2822948	2269999
388	2827888	2260857
389	2833423	2252208
390	2844208	2247724
391	2849322	2238753
392	2857374	2232096
393	2866297	2226109
394	2875073	2219993
395	2885683	2215271
396	2898060	2211869
397	2906889	2205730
398	2915137	2199138
399	2924173	2193130
400	2929562	2184386
401	2938925	2178606
402	2947395	2172150
403	2956513	2166158
404	2964723	2159490
405	2969546	2150360
406	2977028	2143168
407	2981066	2133508
408	2988869	2126554
409	2995636	2118864
410	3001937	2110851
411	3009089	2103441
412	3012534	2093456
413	3019477	2085918
414	3026179	2078219
415	3031540	2069609
416	3039599	2062845
417	3044717	2054091
418	3051787	2046664
419	3057908	2038605
420	3064331	2030756
421	3073251	2024558
422	3080851	2017484
423	3086428	2009090
424	3094056	2002036
425	3104380	1996714
426	3110266	1988531
427	3113914	1978936
428	3120797	1971412
429	3127597	1963839
430	3133622	1955787
431	3144011	1950451
432	3153320	1944426
433	3161997	1937998
434	3168332	1930133
435	3173768	1921731
436	3183090	1915681
437	3194222	1910699
438	3200098	1902564
439	3207784	1895508
440	3216064	1888799
441	3225983	1883040
442	3237289	1878066
443	3245030	1871008
444	3253315	1864259
445	3263676	1858685
446	3270350	1851003
447	3274947	1842158
448	3283493	1835538
449	3290563	1828091
450	3297366	1820497
451	3304901	1813308
452	3309776	1804668
453	3317046	1797342
454	3320895	1788174
455	3330340	1782024
456	3338345	1775094
457	3346792	1768392
458	3355159	1761641
459	3362969	1754592
460	3368506	1746362
461	3374750	1738507
462	3382114	1731233
463	3391011	1724738
464	3398430	1717486
465	3404085	1709347
466	3412279	1702486
467	3420182	1695474
468	3428071	1688453
469	3435392	1681149
470	3442297	1673643
471	3447265	1665204
472	3453731	1657499
473	3461691	1650511
474	3469746	1643563
475	3478647	1637010
476	3486946	1630165
477	3497349	1624292
478	3504120	1616723
479	3509149	1608360
480	3517491	1601519
481	3524653	1594137
482	3536034	1588653
483	3546971	1582945
484	3555707	1576241
485	3565651	1570060
486	3574317	1563304
487	3582937	1556522
488	3590575	1549307
489	3598399	1542171
490	3606451	1535129
491	3616303	1528843
492	3624937	1522032
493	3630266	1513835
494	3640610	1507727
495	3651424	1501795
496	3657553	1493930
497	3667231	1487511
498	3675141	1480367
499	3679974	1471989
500	3686529	1464310
501	3697835	1458508
502	3704869	1451012
503	3716412	1445271
504	3727263	1439240
505	3738378	1433291
506	3746284	1426100
507	3756752	1419875
508	3766613	1413405
509	3775209	1406450
510	3781419	1398607
511	3787672	1390785
512	3800741	1385455
513	3808936	1378331
514	3816887	1371114
515	3824838	1363895
516	3836478	1357979
517	3842210	1349965
518	3851191	1343093
519	3863214	1337266
520	3872690	1330540
521	3879756	1322982
522	3889420	1316304
523	3902000	1310595
524	3914321	1304773
525	3925490	1298546
526	3935169	1291810
527	3941161	1283863
528	3950483	1276999
529	3961078	1270534
530	3968813	1263144
531	3974526	1255113
532	3985450	1248724
533	3991855	1240913
534	4001130	1233993
535	4007936	1226308
536	4013367	1218210
537	4019569	1210353
538	4032473	1204505
539	4039289	1196826
540	4044393	1188648
